代號,公司,資本額(億)
4943,康控-KY,13.23
4944,兆遠,20.73
4946,辣椒,2.73
4947,昂寶-KY,5.6
4950,牧東,4.58
4952,凌通,10.88
4953,緯軟,6.64
4956,光鋐,10.04
4958,臻鼎-KY,90.22
4960,誠美材,66.57
4961,天鈺,16.27
4966,譜瑞-KY,7.99
4967,十銓,6.83
4968,立積,6.04
4971,英特磊IET-KY,3.65
4972,湯石,4.01
4973,廣穎,6.35
4974,亞泰,7.25
4976,佳凌,11.74
4977,眾達-KY,6.66
4979,華星光,10.55
4987,科誠,2.52
4989,榮科,15.31
4991,環宇-KY,9.08
4994,傳奇,11.06
4995,晶達,4.15
4999,鑫禾,7.44
5007,三星,29.49
5009,榮剛,46.67
5011,久陽,4.11
5013,強新,13.34
5014,建錩,16.53
5015,華祺,6.06
5016,松和,4.96
5102,富強,6.41
5201,凱衛,3.07
5202,力新,5.91
5203,訊連,8.39
5205,中茂,1.7
5206,經緯,14.85
5209,新鼎,2.35
5210,寶碩,6.37
5211,蒙恬,3.2
5212,凌網,3.46
5213,亞昕,34.62
5215,科嘉-KY,5.43
5220,萬達光電,3.97
5223,安力-KY,4.32
5225,東科-KY,6.15
5227,立凱-KY,24.16
5230,雷笛克,5.0
5234,達興,10.27
5243,乙盛-KY,16.85
5245,智晶,4.5
5251,天鉞電,3.56
5258,虹堡,8.95
5263,智崴,5.57
5264,鎧勝-KY,42.05
5269,祥碩,6.0
5272,笙科,5.64
5274,信驊,3.42
5276,達輝-KY,3.95
5278,尚凡,1.44
5281,大峽-KY,3.7
5283,禾聯碩,7.6
5284,JPP-KY,3.95
5285,界霖,8.61
5287,數字,4.26
5288,豐祥-KY,6.58
5289,宜鼎,7.97
5291,邑昇,3.66
5299,杰力,3.52
5301,寶得利,13.8
5302,太欣,16.24
5304,鼎創達,32.7
5305,敦南,31.25
5306,桂盟,12.6
5309,系統,15.12
5310,天剛,4.96
5312,寶島科,6.01
5314,世紀,6.0
5315,光聯,10.64
5321,友銓,2.88
5324,士開,10.64
5328,華容,17.27
5340,建榮,16.59
5344,立衛,7.94
5345,天揚,3.0
5347,世界,163.9
5348,系通,2.6
5349,先豐,22.41
5351,鈺創,43.52
5353,台林,7.5
5355,佳總,16.61
5356,協益,10.3
5364,力麗店,1.41
5371,中光電,43.44
5381,合正,18.02
5383,金利,4.94
5386,青雲,2.25
5388,中磊,24.57
5392,應華,16.66
5398,慕康生醫,5.0
5403,中菲,6.26
5410,國眾,8.59
5425,台半,24.27
5426,振發,14.38
5432,達威,2.07
5434,崇越,18.17
5438,東友,11.25
5439,高技,8.6
5443,均豪,16.51
5450,寶聯,12.24
5452,佶優,14.88
5455,昇益開發,6.55
5457,宣德,16.78
5464,霖宏,7.11
5465,富驊,16.41
5468,凱鈺,1.98
5469,瀚宇博,45.94
5471,松翰,16.79
5474,聰泰,3.37
5475,德宏,17.36
5478,智冠,12.75
5481,新華,7.47
5483,中美晶,58.62
5484,慧友,6.81
5487,通泰,2.3
5488,松普,9.16
5489,彩富,10.27
5490,同亨,9.47
5493,三聯,4.43
5498,凱崴,16.48
5508,永信建,21.74
5511,德昌,11.34
5512,力麒,74.4
5514,三豐,17.66
5515,建國,33.43
5516,雙喜,3.83
5519,隆大,19.44
5520,力泰,6.03
5521,工信,44.75
5522,遠雄建,80.63
5523,豐謙,15.5
5525,順天,24.5
5529,志嘉,12.43
5530,龍巖,42.01
5531,鄉林,98.25
5533,皇鼎,28.52
5534,長虹,29.03
5536,聖暉,5.42
5538,東明-KY,16.8
5543,崇佑-KY,3.57
5601,台聯,6.48
5603,陸海,7.83
5604,中連貨,10.88
5607,遠雄港,23.0
5608,四維航,27.93
5609,中菲行,12.6
5701,劍湖山,25.38
5703,亞都,7.02
5704,老爺知,3.89
5706,鳳凰,6.13
5820,日盛金,371.18
5864,致和證,23.75
5871,中租-KY,132.82
5876,上海商銀,448.16
5878,台名,2.5
5880,合庫金,1294.58
5902,德記,9.45
5903,全家,22.32
5904,寶雅,9.77
5905,南仁湖,18.98
5906,台南-KY,3.0
5907,大洋-KY,19.55
